,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,0.0,Park,Swim School,Bus Line,Drugstore,Donut Shop,Doner Restaurant,Dog Run,Distribution Center,Curling Ice,Diner
62,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,2.0,Garden,Women's Store,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Curling Ice
63,M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001,1.0,Grocery Store,Brewery,Convenience Store,Bus Line,Drugstore,Donut Shop,Doner Restaurant,Dog Run,Deli / Bodega,Dumpling Restaurant
64,M9N,York,Weston,43.706876,-79.51818840000001,0.0,Park,Convenience Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Women's Store
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,1.0,Indian Restaurant,Light Rail Station,Pet Store,Brewery,Chinese Restaurant,Vietnamese Restaurant,Donut Shop,Doner Restaurant,Dog Run,Dance Studio
66,M2P,North York,York Mills West,43.752758299999996,-79.4000493,0.0,Park,Convenience Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Women's Store
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1.0,Park,Pizza Place,Food & Drink Shop,Department Store,Convenience Store,Sandwich Place,Hotel,Dance Studio,Breakfast Spot,Gym / Fitness Center
68,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000001,0.0,Park,Trail,Jewelry Store,Sushi Restaurant,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
69,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,1.0,Café,Mexican Restaurant,Thai Restaurant,Grocery Store,Fried Chicken Joint,Bookstore,Discount Store,Diner,Italian Restaurant,Restaurant
70,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,1.0,Pizza Place,Coffee Shop,Sandwich Place,Discount Store,Chinese Restaurant,Middle Eastern Restaurant,Playground,Intersection,Dance Studio,Deli / Bodega
71,M1R,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491,1.0,Middle Eastern Restaurant,Vietnamese Restaurant,Shopping Mall,Bakery,Auto Garage,Sandwich Place,Women's Store,Diner,Department Store,Dessert Shop
72,M2R,North York,Willowdale West,43.7827364,-79.4422593,1.0,Grocery Store,Pharmacy,Supermarket,Pizza Place,Coffee Shop,College Rec Center,Deli / Bodega,Eastern European Restaurant,Dumpling Restaurant,Drugstore
73,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001,1.0,Clothing Store,Coffee Shop,Yoga Studio,Park,Seafood Restaurant,Salon / Barbershop,Restaurant,Rental Car Location,Café,Pet Store
